Complex 5,,,,,,
States,PC1,PC2,?G,time_ps,distance_in_PC_space,
State_01,4.335,0.728576679,0,271160,0.010944028,
State_02,4.207,0.449264821,0.057123943,249600,0.006124382,
State_03,0.636,-0.528326679,0.400045324,311940,0.010952757,
State_04,0.254,-3.461101179,0.510833722,192710,0.016046116,
State_05,0.764,-3.605,0.937973024,206570,0.007545685,
Complex 41,,,,,,
State_01,9.61300875,4.730520357,0,103930,0.003473146,
State_02,-15.26084732,-1.945759643,2.705395257,440210,0.012355893,
State_03,5.927993036,-4.568583929,2.7097435,234040,0.010857291,
State_04,8.998839464,-0.276689643,3.753234845,163480,0.002309848,
State_05,3.16423125,-6.833750357,4.147659803,328160,0.016304277,
Complex FDA,,,,,,
State_01,20.969,1.956562143,0,111660,0.00269664,
State_02,28.884,3.094949286,5.117253459,41880,0.010316466,
State_03,-23.88,32.693015,9.074435549,420930,0.098705082,
State_04,-28.277,-6.012147857,9.359276752,426290,0.075480343,
State_05,-18.604,39.52333786,9.593150138,479160,0.150752453,
Complex 89,,,,,,
State_01,13.33510632,-1.002747,0,494760,0.00531997,
State_02,-30.88436246,-26.298197,9.715904479,242040,0.140130955,
State_03,-35.50430696,-7.073655,9.847352519,175070,0.09172258,
State_04,-25.60442589,-34.392741,9.996805443,83020,0.092699679,
State_05,-23.62444968,-36.416377,10.09977892,82810,0.166108367,
Complex 114,,,,,,
State_01,14.01922614,-1.984321464,0,480470,0.004731188,
State_02,-32.094195,5.791865607,8.734765511,155550,0.106696953,
State_03,-31.35043014,-13.21659168,8.74154172,100950,0.178532086,
State_04,-29.86290043,-17.53669561,8.974467072,183130,0.057420746,
State_05,-21.681487,-31.36102818,9.057100411,161780,0.162257666,
Complex 115,,,,,,
State_01,-3.97631175,-4.39997675,0,400840,0.011137763,d
State_02,-4.37694575,-3.49469825,0.15168213,410180,0.001736593,
State_03,-0.67108125,3.34518375,0.182309577,201330,0.003828318,
State_04,-2.07330025,3.54635675,0.471175844,229160,0.00643675,
State_05,-1.47234925,3.54635675,0.990822249,276560,0.006196847,
